Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5
350,0.009393889,0.009316014,0.009278053,0.009317167,0.009230369
351,0.009590336,0.009467775,0.009537297,0.009494289,0.009412506
352,0.009776668,0.009650268,0.009706664,0.009692697,0.00959664
353,0.009964582,0.0098269,0.009850512,0.009886612,0.009788868
354,0.010188781,0.009995237,0.009956731,0.010084616,0.010037032
355,0.010428149,0.010208543,0.010142105,0.010303445,0.010267422
356,0.010686273,0.010458412,0.010384957,0.010544011,0.010495171
357,0.010915159,0.010677944,0.01059282,0.010752107,0.01072187
358,0.011139682,0.010903834,0.010792503,0.010956684,0.010938371
359,0.011325259,0.011116187,0.010947086,0.011126371,0.01110324
360,0.011487108,0.011309528,0.011153447,0.011311619,0.011302201
361,0.011641455,0.011488041,0.011369164,0.011494843,0.011509219
362,0.011848726,0.011647675,0.011537584,0.011650928,0.01171552
363,0.012023261,0.011817793,0.011689531,0.011814122,0.01191325
364,0.01215533,0.012003721,0.011820749,0.01198854,0.012101381
365,0.012303143,0.012187145,0.011976375,0.012145021,0.012257865
366,0.012458918,0.012361163,0.012135298,0.012297398,0.012411068
367,0.012662669,0.012539969,0.012319665,0.012483023,0.012611372
368,0.012866403,0.012729279,0.012502215,0.012683563,0.012804781
369,0.01307387,0.012932049,0.012686422,0.012902141,0.012995138
370,0.013273784,0.013155196,0.012859131,0.013069569,0.013222552
371,0.013482006,0.013380288,0.01304041,0.013257457,0.013445596
372,0.013718945,0.013612456,0.01325115,0.013513374,0.013656464
373,0.013950046,0.01385568,0.013453222,0.013749444,0.013886088
374,0.014186394,0.014112284,0.013658305,0.013984757,0.014132154
375,0.014391354,0.014330243,0.013873626,0.014180403,0.014345081
376,0.01457702,0.014527348,0.014058427,0.014359611,0.014546767
377,0.01473155,0.014690893,0.014196991,0.014511547,0.014727511
378,0.014909859,0.014878941,0.014382501,0.014701295,0.0149156
379,0.015094803,0.015073005,0.014568447,0.014895488,0.015104081
380,0.015308616,0.015294033,0.014738671,0.015099156,0.015312251
381,0.015541036,0.015533121,0.014949014,0.015306524,0.015526882
382,0.01580776,0.01580627,0.015216185,0.015530384,0.015761282
383,0.0160859,0.016085884,0.015460034,0.015777484,0.016054438
384,0.016363956,0.01636583,0.015707463,0.016026921,0.016350529
385,0.01657675,0.016582807,0.015915194,0.016219468,0.016570569
386,0.016760544,0.016790732,0.016093272,0.016416286,0.01678909
387,0.016928555,0.016990185,0.01625539,0.016610105,0.017001833
388,0.017130232,0.017193772,0.016425969,0.01682277,0.017213358
389,0.017309597,0.017368642,0.016579229,0.017000056,0.017405656
390,0.017456609,0.017502694,0.01670717,0.017127477,0.017569514
391,0.017639959,0.017682879,0.01687955,0.017303475,0.017742487
392,0.017835418,0.017885677,0.017071234,0.017495372,0.017928526
393,0.01806764,0.018161509,0.017322457,0.017728072,0.018181542
394,0.018283347,0.018405528,0.017521789,0.017947212,0.01840736
395,0.018464869,0.018601561,0.017663764,0.018133456,0.018590355
396,0.01862112,0.018777076,0.017816254,0.018288924,0.018777686
397,0.018767066,0.0189331,0.017955901,0.018429263,0.018944446
398,0.0188877,0.01904494,0.018065193,0.018534587,0.019064387
399,0.018979577,0.01914394,0.01812827,0.018613396,0.019147884
400,0.019056613,0.019231846,0.018177943,0.018679645,0.019218241
401,0.01916608,0.019347078,0.018292106,0.01878099,0.019347487
402,0.019275323,0.019466636,0.018396029,0.018882683,0.019470164
