Var1,Var2_1,Var2_2,Var2_3,Var2_4
350,0.002075236,0.001442472,0.002254273,0.002005749
351,0.002084912,0.001469107,0.002268933,0.002028953
352,0.002111976,0.001498216,0.002277703,0.002042855
353,0.002132287,0.00152218,0.002284843,0.002052822
354,0.002124636,0.001530172,0.002289439,0.002053643
355,0.002132212,0.001537068,0.002305845,0.002059064
356,0.00214973,0.001543516,0.002330359,0.002067606
357,0.002160016,0.001572666,0.002348951,0.002073842
358,0.002165393,0.001590878,0.002360009,0.002080371
359,0.002158218,0.001580227,0.002351376,0.002086607
360,0.00216994,0.001577758,0.002342626,0.002089682
361,0.002188029,0.001578816,0.002337172,0.002092592
362,0.002199734,0.001581334,0.002358142,0.002105889
363,0.002211296,0.001585157,0.00237114,0.002118457
364,0.002222748,0.001590768,0.002373422,0.002130128
365,0.002231682,0.001607301,0.002387492,0.002149783
366,0.002238611,0.001625122,0.002402644,0.002168795
367,0.002242099,0.001642392,0.002415283,0.002183228
368,0.002256934,0.001659364,0.002433385,0.002198915
369,0.00228298,0.00167647,0.002457164,0.002216199
370,0.002313978,0.001701884,0.002481548,0.00223683
371,0.002344783,0.001728764,0.002507946,0.002260649
372,0.002375052,0.001757942,0.002539948,0.002292022
373,0.002401592,0.001786958,0.002560667,0.002321398
374,0.002427565,0.001817122,0.002577111,0.002351122
375,0.002453379,0.001848051,0.002618572,0.002376277
376,0.00247805,0.001873197,0.002650562,0.002406354
377,0.002500141,0.001889513,0.002668434,0.002441804
378,0.002524221,0.001925904,0.002699848,0.002462823
379,0.002550033,0.001963383,0.002732389,0.002481618
380,0.002585288,0.001993457,0.002762843,0.002507931
381,0.002621191,0.002024214,0.00279682,0.002540964
382,0.002659962,0.002057513,0.002836701,0.002583351
383,0.002707094,0.002107913,0.002881465,0.00263553
384,0.002752886,0.002161137,0.002927492,0.0026909
385,0.002780837,0.002202572,0.002963121,0.002736778
386,0.002813981,0.002230603,0.003006764,0.002769338
387,0.002848255,0.00225254,0.003052365,0.002795675
388,0.002879134,0.002295277,0.003070075,0.002820531
389,0.002906086,0.002323542,0.003093155,0.002845405
390,0.002927231,0.002331803,0.003123008,0.002869815
391,0.002962066,0.002349752,0.003152391,0.002894182
392,0.003000334,0.002375475,0.003182795,0.002922044
393,0.00304576,0.002428682,0.003222822,0.002969276
