Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10
571,0.011231141,0.010637757,0.011278244,0.010957716,0.011061321,0.011004449,0.011022819,0.011057372,0.011669217,0.011042542
572,0.011166273,0.010576733,0.011213925,0.010895383,0.010999725,0.010943821,0.010958015,0.010994029,0.011603962,0.010980326
573,0.011097261,0.010510893,0.011143268,0.010826012,0.010932179,0.010878071,0.010887333,0.010925273,0.011533692,0.01091296
574,0.011011291,0.010423238,0.011051928,0.010737271,0.010845844,0.010788888,0.010800976,0.010837235,0.011439597,0.010825243
575,0.010916051,0.010328818,0.010953284,0.010645357,0.010750585,0.010694489,0.010704207,0.010740664,0.011338734,0.010729946
576,0.010813868,0.010229121,0.010848971,0.010550577,0.010648608,0.010595846,0.010599723,0.01063763,0.011232557,0.010628821
577,0.010679005,0.010096882,0.010714816,0.010417587,0.010513801,0.010458803,0.010465552,0.010502593,0.01109629,0.010493216
578,0.010535843,0.009959417,0.010571515,0.010277438,0.010372521,0.010312238,0.010323856,0.01036138,0.010953222,0.01035224
579,0.010384129,0.009816492,0.010418809,0.010129881,0.010224521,0.010155884,0.010174385,0.010213747,0.01080311,0.010205652
580,0.010195004,0.00963777,0.010231799,0.009945578,0.010038581,0.00995854,0.009987404,0.010026661,0.010616523,0.010018053
581,0.009997047,0.009451382,0.010035073,0.00975223,0.009844659,0.009753434,0.009792483,0.009830479,0.010421013,0.009821892
582,0.009792109,0.009259479,0.009829545,0.009551477,0.009645103,0.00954352,0.009591923,0.009627261,0.010218232,0.009619745
583,0.009562636,0.009044959,0.009596124,0.009322984,0.009417661,0.00931082,0.009366034,0.009398028,0.009986095,0.009390491
584,0.009329122,0.008826131,0.009358881,0.009090949,0.009186301,0.009076064,0.009137137,0.009165098,0.009749802,0.009157976
585,0.009096627,0.00860682,0.009125026,0.00886294,0.008958199,0.008845881,0.008912188,0.008934847,0.009517006,0.008929771
586,0.008850176,0.008373494,0.008876876,0.008618742,0.008717023,0.008603458,0.008672356,0.008691367,0.009269322,0.008686346
587,0.008598902,0.008136451,0.008624473,0.008369781,0.008471849,0.008357555,0.008427895,0.00844405,0.009018141,0.008437911
588,0.008358372,0.007914451,0.008385784,0.008135697,0.008239115,0.008124772,0.008196433,0.008210139,0.008784715,0.008201635
589,0.008113619,0.007684566,0.008139294,0.0078922,0.00799678,0.007879798,0.007956837,0.007971461,0.008544438,0.00795902
590,0.007859773,0.007442984,0.007881176,0.00763616,0.007742113,0.007621044,0.007705601,0.007723282,0.008292926,0.007706425
591,0.007612839,0.007204413,0.007630391,0.007388762,0.007498746,0.00737776,0.007461736,0.007480251,0.00804415,0.007465932
592,0.00736026,0.00695916,0.007371727,0.007136475,0.007247972,0.007128312,0.007210354,0.00723043,0.007788947,0.007217325
593,0.007106734,0.006711807,0.007110013,0.006884015,0.006994471,0.006877365,0.006956137,0.006978469,0.007532041,0.006965259
594,0.006863572,0.006482095,0.006865419,0.00664387,0.006754916,0.006635072,0.006718527,0.00673795,0.007290958,0.006725074
595,0.006608273,0.006242063,0.006611383,0.00639265,0.006504264,0.006382691,0.006469631,0.006488172,0.007039614,0.006474588
596,0.006333795,0.005985616,0.006342176,0.006123841,0.006235998,0.006114183,0.006202852,0.00622352,0.006771903,0.006207673
597,0.006062325,0.005726302,0.006072834,0.005856648,0.005966437,0.005847194,0.005940167,0.005955488,0.006503004,0.005940951
598,0.005782949,0.005460185,0.005795039,0.005581871,0.005689892,0.005572158,0.00566941,0.005680055,0.006226232,0.005666425
599,0.005480563,0.005175294,0.005493784,0.005285233,0.005393604,0.005274209,0.005375107,0.005384472,0.005927656,0.005369898
600,0.005201879,0.004908916,0.005212459,0.005010968,0.005118059,0.004996437,0.005103058,0.005108195,0.005650671,0.005094224
601,0.004932512,0.004651398,0.004940993,0.004746789,0.004852081,0.004727308,0.004840102,0.004841495,0.005382625,0.004828201
602,0.00467528,0.004409421,0.004687581,0.00449917,0.004602206,0.004471115,0.004589865,0.004592372,0.00512732,0.004578511
603,0.004458319,0.004205041,0.004471958,0.00428779,0.004389503,0.004256547,0.004379572,0.004382242,0.004911038,0.004368815
