Var1,Var2_1,Var2_2,Var2_3
350,0.003023216,0.002872346,0.002734341
351,0.003056641,0.002886871,0.002738646
352,0.003058318,0.002884093,0.002723734
353,0.003057291,0.002879638,0.002713531
354,0.003058527,0.002874951,0.002725923
355,0.003055804,0.002877402,0.002749001
356,0.003050342,0.002884656,0.002780338
357,0.003059904,0.002900698,0.002795958
358,0.003069212,0.002911812,0.002807435
359,0.003076611,0.002909911,0.002807666
360,0.003063625,0.002897394,0.002808428
361,0.003047162,0.00288443,0.002811783
362,0.003068349,0.002902037,0.002835845
363,0.003081284,0.00291706,0.002848052
364,0.003083336,0.002928838,0.002844529
365,0.003088792,0.002950515,0.002863945
366,0.003096927,0.002974043,0.00288909
367,0.003113963,0.003001687,0.002921727
368,0.00315633,0.003023745,0.002958354
369,0.003223692,0.003040652,0.002999262
370,0.003247874,0.003087322,0.00303111
371,0.003276004,0.003134115,0.003064804
372,0.003325733,0.003174551,0.003106187
373,0.003357676,0.003223872,0.003151876
374,0.003382364,0.003278632,0.003200805
375,0.003414065,0.003309245,0.003240697
376,0.003443785,0.003339267,0.003275879
377,0.003470507,0.00336811,0.003304409
378,0.003516563,0.003408219,0.003351686
379,0.003565778,0.003453857,0.003403463
380,0.003613409,0.003514634,0.003459777
381,0.003667601,0.003580859,0.003529082
382,0.003733383,0.003658336,0.003618411
383,0.00378067,0.0037021,0.003674302
384,0.003829827,0.00374889,0.003724082
385,0.003879889,0.003804085,0.003760038
386,0.003934153,0.003839529,0.003799344
387,0.003989201,0.00386658,0.00383934
388,0.00403555,0.003921367,0.003882803
389,0.004072365,0.003974117,0.003921525
390,0.004096382,0.004023952,0.003953798
391,0.004139151,0.004083036,0.00401068
392,0.004187663,0.004141874,0.004073919
393,0.004240794,0.004188246,0.004138018
394,0.004293147,0.004231056,0.004191066
395,0.004338269,0.004265967,0.004229825
396,0.004384397,0.004308551,0.004285286
397,0.004426709,0.004347646,0.004327986
398,0.004458325,0.004376929,0.004342279
399,0.004491309,0.004413928,0.004372652
400,0.004522573,0.004450089,0.004406529
401,0.004563525,0.004489632,0.00445224
402,0.004597834,0.004527803,0.00449382
403,0.004627638,0.004566365,0.00453346
404,0.004659778,0.004600108,0.00457817
405,0.004695216,0.004634838,0.004621951
406,0.004737951,0.00467326,0.00466245
407,0.004777132,0.004715961,0.004701318
408,0.004813166,0.004760607,0.004738311
409,0.004853637,0.00480611,0.004789133
410,0.004896672,0.004851568,0.004836807
411,0.004943104,0.004896602,0.004879524
412,0.004989317,0.004939619,0.004926065
413,0.005034879,0.004982752,0.004973789
414,0.005081786,0.005031719,0.00502632
415,0.005130408,0.00508087,0.005079351
416,0.005180018,0.005130004,0.005132562
417,0.005232855,0.005180472,0.005186897
418,0.005285074,0.005233754,0.005240632
419,0.005336084,0.005291023,0.005293179
420,0.005386616,0.005342565,0.005347617
421,0.00543658,0.005393811,0.005402842
422,0.005487919,0.00546076,0.005466805
423,0.005541018,0.005522901,0.005529819
424,0.005595821,0.00558011,0.005591791
425,0.005660223,0.005646785,0.005657563
426,0.005727322,0.005713533,0.00572537
427,0.005798487,0.005778115,0.005797211
428,0.005867818,0.005846707,0.005869046
429,0.005938595,0.005919044,0.005943567
430,0.006009558,0.005988497,0.006021317
431,0.006080848,0.00605701,0.006092783
432,0.006145657,0.006118063,0.006151251
433,0.006217809,0.006191559,0.006223656
434,0.006287111,0.006262608,0.00629536
435,0.006352962,0.006330019,0.006366892
