Var1,Var2_1,Var2_2,Var2_3,Var2_4
619,0.001132281,0.0011503,0.001163854,0.001178757
620,0.001124993,0.001141925,0.00115741,0.001170925
621,0.001117944,0.001134059,0.001151222,0.001163479
622,0.001111277,0.001126652,0.001143314,0.001155093
623,0.001104302,0.001119028,0.001135476,0.001147538
624,0.001096788,0.001111564,0.001127575,0.001140416
625,0.00108786,0.001105361,0.001119541,0.00113382
626,0.00108083,0.001099525,0.001111335,0.00112709
627,0.001074303,0.001093535,0.001103288,0.001120108
628,0.001065105,0.001084898,0.001097619,0.001111586
629,0.00105697,0.001078592,0.001089975,0.001105142
630,0.001049746,0.001073474,0.001081491,0.001099813
631,0.001044419,0.001064969,0.001077614,0.001091965
632,0.001038638,0.001056875,0.001072262,0.001085322
633,0.001032433,0.001049229,0.001065461,0.001079918
634,0.00102595,0.001047337,0.001060164,0.001072312
635,0.001020161,0.00104136,0.001053636,0.001062972
636,0.001015063,0.001031333,0.001045888,0.001051913
637,0.001009548,0.001026782,0.001041249,0.001046379
638,0.001004567,0.00101986,0.001036204,0.001040806
639,0.001000367,0.001009387,0.00103054,0.001035158
640,0.000994346,0.001005177,0.001024111,0.001029459
641,0.000988278,0.001001023,0.001017518,0.001023467
642,0.000982454,0.00099591,0.001010818,0.00101705
643,0.000977084,0.000989294,0.001004837,0.001011219
644,0.00097061,0.000981832,0.000997813,0.001005883
645,0.000961449,0.000972806,0.000988176,0.001001573
646,0.000949591,0.000964423,0.00098139,0.000991451
647,0.000938331,0.000956813,0.000975118,0.000981558
648,0.00093024,0.000950759,0.000968455,0.000975796
649,0.000923339,0.00094408,0.000958349,0.000968185
650,0.000917563,0.000937415,0.000948908,0.000960129
651,0.000913871,0.000931304,0.000943289,0.000952299
652,0.000908411,0.000921139,0.000938542,0.000943241
653,0.000901983,0.000910118,0.000932095,0.000933927
654,0.000893353,0.000899565,0.000917904,0.000924669
655,0.000881714,0.00088897,0.000905766,0.000911581
656,0.000868487,0.000877902,0.000893785,0.000897475
657,0.000854877,0.000865641,0.000879529,0.000886892
658,0.000838287,0.000848502,0.000862186,0.000870043
659,0.000821231,0.000830315,0.000844588,0.000851469
660,0.000806283,0.000815216,0.000830085,0.000835762
661,0.000793726,0.000803223,0.000816845,0.000823029
662,0.000783517,0.000793376,0.000806175,0.000812498
663,0.000778399,0.000786664,0.0008033,0.000805525
664,0.000775987,0.000782356,0.000800529,0.000799144
665,0.000774828,0.000779388,0.000797868,0.000793642
666,0.000774714,0.00077942,0.000795879,0.000793919
667,0.00077686,0.000780687,0.000798288,0.000798589
668,0.000780772,0.000783306,0.000804239,0.000806544
669,0.000786989,0.000790681,0.000815596,0.000817568
670,0.000796195,0.000802231,0.000826321,0.000829953
671,0.000807694,0.000816357,0.000836737,0.00084309
672,0.000821771,0.000828396,0.000848081,0.000854679
673,0.000836328,0.000840678,0.000860487,0.000868164
674,0.000850583,0.000853406,0.000873328,0.000882506
675,0.000859439,0.000868843,0.000883858,0.000893302
676,0.000867334,0.000882532,0.000895545,0.000905232
677,0.000874703,0.000894212,0.000908457,0.000917365
678,0.000883095,0.000898295,0.000925452,0.000924493
679,0.000892421,0.000903872,0.00093585,0.000931852
680,0.000901629,0.000909574,0.000941649,0.000938795
681,0.000903999,0.000907313,0.000945522,0.000940492
682,0.000904575,0.000906823,0.000945831,0.000941326
683,0.000903081,0.000906801,0.000943408,0.000941014
684,0.000893743,0.000900278,0.000937935,0.000935549
685,0.000883921,0.000891694,0.000926736,0.000927512
686,0.000874081,0.000881632,0.000912336,0.00091761
687,0.000868424,0.000871957,0.000906115,0.000907652
688,0.000856042,0.000860895,0.000896495,0.000895949
689,0.000837953,0.000847233,0.000883155,0.000881621
690,0.000814355,0.000819867,0.000859586,0.000855821
691,0.00078406,0.000788084,0.000832033,0.000824078
692,0.000751092,0.000756621,0.000802207,0.000790041
693,0.000723357,0.000736216,0.000772282,0.000760721
694,0.000696771,0.000710505,0.000744142,0.000733095
695,0.000671098,0.000682313,0.000716506,0.000706651
696,0.000647462,0.000653557,0.000688244,0.000682395
697,0.00062897,0.000627264,0.000664273,0.000656272
698,0.000611668,0.000603173,0.000642287,0.00063066
699,0.000589708,0.000582636,0.000620026,0.000609065
700,0.000566999,0.000565537,0.000600115,0.000588415
701,0.000544328,0.000548752,0.000580521,0.000568511
702,0.000523919,0.000527835,0.000558797,0.000550679
703,0.000504548,0.000510028,0.000537072,0.000528268
704,0.000485532,0.000492772,0.000516722,0.00050543
705,0.000465751,0.00047202,0.000501388,0.000488278
706,0.000449397,0.000453329,0.000480967,0.000468833
707,0.000434861,0.000436887,0.000461807,0.000450814
708,0.000422506,0.000424401,0.000448403,0.000437335
709,0.000407985,0.000407621,0.000433453,0.000423603
710,0.000392366,0.000391653,0.000418973,0.000409392
711,0.000375431,0.000380053,0.000406473,0.000394202
712,0.000356911,0.000361579,0.000386351,0.000376974
713,0.000339069,0.00034173,0.000366437,0.000359141
714,0.000322833,0.00032238,0.0003497,0.000341145
715,0.00030856,0.000310039,0.000335414,0.000318935
716,0.000291803,0.000297979,0.000321324,0.000300665
717,0.00027014,0.00028473,0.000306671,0.00028899
718,0.000259334,0.000272649,0.000294049,0.000279066
719,0.000245829,0.000258771,0.000280629,0.000266625
720,0.000228331,0.000243257,0.00026659,0.000251572
721,0.000214926,0.000227057,0.00025232,0.000233649
722,0.000201603,0.000213763,0.000239264,0.000220362
723,0.00018844,0.000203289,0.000227431,0.000211522
724,0.000181942,0.000188546,0.000220826,0.000194834
