Var1,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5
350,0.000850025,0.000891506,0.000872914,0.000862115,0.000946282
351,0.000864981,0.000901182,0.000860152,0.000867231,0.000944917
352,0.000863986,0.000926454,0.00087022,0.000875934,0.000953361
353,0.000861089,0.000940428,0.000879702,0.000885272,0.000963944
354,0.000856904,0.000909903,0.000879878,0.000897116,0.000980254
355,0.00085921,0.00089895,0.000884357,0.000901489,0.00099166
356,0.00086581,0.000900076,0.000891818,0.000901255,0.001000446
357,0.000878323,0.000912602,0.000919606,0.000916013,0.001007834
358,0.000890087,0.000923687,0.00094233,0.000927265,0.001014943
359,0.000898387,0.000929799,0.000949921,0.000928688,0.001020397
360,0.000897481,0.000940346,0.000957859,0.000935156,0.001025404
361,0.000893109,0.000951429,0.00096433,0.000943488,0.001029422
362,0.000889911,0.00095403,0.00095839,0.000951978,0.001027277
363,0.000894279,0.000962679,0.000960787,0.000960189,0.00102652
364,0.000908871,0.000979564,0.000974409,0.000968132,0.001027609
365,0.000926158,0.000975668,0.000965666,0.000967979,0.001032328
366,0.00094302,0.000970542,0.000958605,0.000965665,0.001038882
367,0.000960234,0.000977323,0.000974864,0.000961773,0.001050532
368,0.000972508,0.000985768,0.000991057,0.000971776,0.001071459
369,0.000980224,0.000995941,0.001007435,0.000995289,0.001101626
370,0.00099217,0.001011526,0.001021787,0.001023503,0.001123502
371,0.001006481,0.001031105,0.001034806,0.001050492,0.001141039
372,0.001025769,0.001059385,0.001045589,0.001074235,0.001150999
373,0.001052041,0.001087599,0.001065068,0.001102953,0.001166677
374,0.001082362,0.001116699,0.001089147,0.001134881,0.001185467
375,0.001094696,0.001133355,0.001113962,0.001154348,0.001218911
376,0.001110427,0.001152469,0.001136902,0.001169813,0.001241524
377,0.001130294,0.001174415,0.001156874,0.00117966,0.001249352
378,0.001135265,0.001185996,0.001172962,0.001185453,0.001256236
379,0.001139905,0.001196662,0.001187302,0.001193044,0.001264267
380,0.001157243,0.001214202,0.001199675,0.001212241,0.001278487
381,0.001174923,0.00123374,0.001210485,0.001232035,0.001294372
382,0.001194235,0.001256878,0.001220277,0.001253898,0.001313211
383,0.001236334,0.001284349,0.001253753,0.001293562,0.001339867
384,0.001276318,0.001313902,0.001287899,0.001330809,0.00137011
385,0.001296508,0.001341205,0.001309954,0.001349539,0.001400609
386,0.001316127,0.00136208,0.00133203,0.001365263,0.001420053
387,0.00133513,0.001380008,0.00135369,0.001379489,0.001434754
388,0.001347574,0.001391884,0.001371724,0.001394991,0.001449617
389,0.001355674,0.001403883,0.001389586,0.001407599,0.001464659
390,0.001357926,0.001415938,0.001407058,0.001416245,0.001479802
391,0.001372727,0.001431893,0.001415811,0.001429047,0.001490448
392,0.001392655,0.001450458,0.001425807,0.001444999,0.001501779
393,0.001423076,0.001477174,0.001450369,0.001471116,0.001521036
394,0.001447489,0.001500393,0.001475803,0.001494758,0.001538225
395,0.001464775,0.001518385,0.001498765,0.001513793,0.001551947
396,0.001476289,0.00153864,0.00151423,0.001528952,0.001570937
397,0.001487895,0.001555681,0.001529035,0.001544964,0.001591359
398,0.001498996,0.001565304,0.001541668,0.001561723,0.00161344
399,0.00150781,0.001568038,0.001546816,0.001565375,0.001620677
400,0.001514512,0.001569149,0.001549433,0.001566147,0.001623139
401,0.001517508,0.00157708,0.001554812,0.001581015,0.001631394
402,0.001527169,0.001587468,0.001560188,0.001593725,0.001638557
403,0.001543152,0.001600457,0.001565753,0.00160505,0.001645023
404,0.001554586,0.001611762,0.001578969,0.001619197,0.00165305
405,0.001566159,0.001623633,0.00159277,0.001632964,0.001662084
406,0.001579309,0.001637353,0.001606112,0.001645255,0.001673149
407,0.001590971,0.001651308,0.001619875,0.001657388,0.001685142
408,0.001601432,0.001665161,0.001633671,0.001669191,0.001697534
409,0.001615361,0.001677394,0.001644405,0.001680973,0.001710842
410,0.001629095,0.00169061,0.00165637,0.001693178,0.001723455
411,0.001642516,0.001705226,0.001670094,0.001705969,0.001735031
412,0.001657125,0.001712669,0.001682539,0.001720874,0.00174436
413,0.001670968,0.001720763,0.001694427,0.001735216,0.001753808
414,0.001681933,0.001738807,0.001706313,0.001746629,0.001766593
415,0.001694771,0.00175405,0.001720034,0.001760848,0.001778766
416,0.001708792,0.001767416,0.001734917,0.001776858,0.001790504
417,0.001724986,0.001782785,0.001747606,0.001793982,0.001808447
418,0.001740998,0.001800089,0.001763182,0.001811607,0.001827535
419,0.001756698,0.001820274,0.001783083,0.001829947,0.001848312
420,0.001771764,0.001835709,0.001800422,0.001848621,0.001863367
421,0.001786781,0.001850177,0.001817237,0.001866391,0.001876816
422,0.001804381,0.001868134,0.001836803,0.001877298,0.001890116
423,0.001823151,0.00188441,0.001854873,0.001892986,0.001904252
424,0.001843118,0.001899015,0.001871458,0.001913501,0.001919247
425,0.001856766,0.001914818,0.001887443,0.001929982,0.001932169
426,0.00187075,0.001930889,0.001902338,0.001947284,0.00194726
427,0.001887288,0.001947369,0.001914869,0.001967707,0.001968141
428,0.001904434,0.001966163,0.001932804,0.001985703,0.001986955
429,0.001922803,0.001986834,0.001953459,0.002003578,0.002005579
430,0.00194554,0.002010444,0.001972262,0.002025824,0.002026336
431,0.001962815,0.002032352,0.001990395,0.002043431,0.002045598
432,0.001973078,0.002050579,0.002006272,0.002054817,0.002061651
433,0.001985134,0.002061725,0.00202291,0.002068528,0.002073045
434,0.001998207,0.00207365,0.002038614,0.002083015,0.002084562
435,0.002013979,0.002089676,0.002053187,0.002099665,0.002098172
436,0.002028968,0.002101926,0.002065232,0.002112729,0.002110131
437,0.002043565,0.002113151,0.002076582,0.002124694,0.002121615
438,0.002060217,0.002130908,0.00209276,0.002142069,0.002136807
439,0.002076265,0.002148938,0.002110774,0.002161104,0.002153511
440,0.002091345,0.002166828,0.002130207,0.00218134,0.002171335
441,0.002108929,0.002185914,0.002147253,0.002198927,0.002189947
442,0.002125996,0.002204139,0.002164118,0.002216319,0.002207595
443,0.002142339,0.002221238,0.00218209,0.002234942,0.002223952
444,0.002162129,0.002239089,0.002199327,0.002254294,0.002241709
445,0.002182995,0.002257548,0.002216701,0.002274097,0.002260145
446,0.002200637,0.002278548,0.002237881,0.002295125,0.00227939
447,0.002218656,0.002299477,0.002257923,0.002314769,0.002298737
448,0.002236724,0.00231998,0.002276536,0.002332737,0.002317854
449,0.002254053,0.00233784,0.002294076,0.002350915,0.002334194
450,0.002270673,0.002354574,0.002310731,0.00236844,0.002349793
451,0.002286567,0.00237009,0.002326297,0.002385167,0.002365015
452,0.002302718,0.002386936,0.002343248,0.002404189,0.002379992
453,0.002319416,0.002404539,0.002361191,0.002424074,0.002395221
454,0.00233744,0.002421195,0.002380126,0.002439798,0.002411359
